Nombre,Email,Telefono,NIT_Cedula,Direccion
Cliente 1,cliente1@correo.com,3880379082,2046479440,Carrera 1 # 34-41
Cliente 2,cliente2@correo.com,3293692203,4334215596,Carrera 2 # 12-39
Cliente 3,cliente3@correo.com,3045529867,5810547306,Carrera 3 # 20-8
Cliente 4,cliente4@correo.com,3168353579,9559352455,Carrera 4 # 40-18
Cliente 5,cliente5@correo.com,3347344434,2953567411,Carrera 5 # 44-9
Cliente 6,cliente6@correo.com,3166010679,9290276468,Carrera 6 # 4-3
Cliente 7,cliente7@correo.com,3345317495,2127941106,Carrera 7 # 45-36
Cliente 8,cliente8@correo.com,3598011021,0989348769,Carrera 8 # 17-27
Cliente 9,cliente9@correo.com,3501785981,5964566486,Carrera 9 # 18-40
Cliente 10,cliente10@correo.com,3365502072,7426257134,Carrera 10 # 39-12
Cliente 11,cliente11@correo.com,3660364962,1535737920,Carrera 11 # 49-44
Cliente 12,cliente12@correo.com,3987559852,7014920681,Carrera 12 # 12-10
Cliente 13,cliente13@correo.com,3315984662,3266247897,Carrera 13 # 22-11
Cliente 14,cliente14@correo.com,3060744381,2844171001,Carrera 14 # 25-45
Cliente 15,cliente15@correo.com,3475411511,0291411486,Carrera 15 # 35-17
Cliente 16,cliente16@correo.com,3007532864,6867579148,Carrera 16 # 10-46
Cliente 17,cliente17@correo.com,3793956479,2851516844,Carrera 17 # 3-18
Cliente 18,cliente18@correo.com,3343158356,3538609881,Carrera 18 # 36-25
Cliente 19,cliente19@correo.com,3693727950,9252013488,Carrera 19 # 46-16
Cliente 20,cliente20@correo.com,3322521873,8043476905,Carrera 20 # 32-44
Cliente 21,cliente21@correo.com,3533792280,0706270944,Carrera 21 # 8-24
Cliente 22,cliente22@correo.com,3442646740,5859952908,Carrera 22 # 1-33
Cliente 23,cliente23@correo.com,3119835209,0310127100,Carrera 23 # 44-47
Cliente 24,cliente24@correo.com,3749025538,9007286944,Carrera 24 # 4-22
Cliente 25,cliente25@correo.com,3871935946,1822623838,Carrera 25 # 49-40
Cliente 26,cliente26@correo.com,3777806426,6874132244,Carrera 26 # 35-12
Cliente 27,cliente27@correo.com,3983261100,7866700656,Carrera 27 # 3-50
Cliente 28,cliente28@correo.com,3784088200,2796958760,Carrera 28 # 5-40
Cliente 29,cliente29@correo.com,3703732547,5330516356,Carrera 29 # 24-25
Cliente 30,cliente30@correo.com,3175213629,0734847628,Carrera 30 # 44-45
Cliente 31,cliente31@correo.com,3789068155,1397391455,Carrera 31 # 6-15
Cliente 32,cliente32@correo.com,3058259636,4944282287,Carrera 32 # 48-22
Cliente 33,cliente33@correo.com,3385392182,6649185194,Carrera 33 # 1-2
Cliente 34,cliente34@correo.com,3603101722,7904964719,Carrera 34 # 39-49
Cliente 35,cliente35@correo.com,3520063756,1929128924,Carrera 35 # 37-34
Cliente 36,cliente36@correo.com,3598777820,9010892531,Carrera 36 # 11-9
Cliente 37,cliente37@correo.com,3402309125,3536960812,Carrera 37 # 25-36
Cliente 38,cliente38@correo.com,3965154462,5619850788,Carrera 38 # 10-45
Cliente 39,cliente39@correo.com,3175786778,7714590382,Carrera 39 # 46-8
Cliente 40,cliente40@correo.com,3895632237,0837287107,Carrera 40 # 43-2
Cliente 41,cliente41@correo.com,3830967780,1435814150,Carrera 41 # 1-9
Cliente 42,cliente42@correo.com,3969065483,6805710003,Carrera 42 # 14-48
Cliente 43,cliente43@correo.com,3746913715,2405732910,Carrera 43 # 26-36
Cliente 44,cliente44@correo.com,3355306405,3615839807,Carrera 44 # 13-3
Cliente 45,cliente45@correo.com,3201544728,1961431091,Carrera 45 # 40-49
Cliente 46,cliente46@correo.com,3999883463,9076549357,Carrera 46 # 36-44
Cliente 47,cliente47@correo.com,3256869292,3508120656,Carrera 47 # 9-4
Cliente 48,cliente48@correo.com,3630060818,7317619831,Carrera 48 # 16-24
Cliente 49,cliente49@correo.com,3819968249,5240133695,Carrera 49 # 44-25
Cliente 50,cliente50@correo.com,3367959702,4492412080,Carrera 50 # 10-26
Cliente 51,cliente51@correo.com,3766644226,5793549668,Carrera 51 # 50-13
Cliente 52,cliente52@correo.com,3011440125,0361025740,Carrera 52 # 35-5
Cliente 53,cliente53@correo.com,3289420087,8749368929,Carrera 53 # 38-6
Cliente 54,cliente54@correo.com,3078321024,3902104971,Carrera 54 # 6-39
Cliente 55,cliente55@correo.com,3316091347,8384450725,Carrera 55 # 48-12
Cliente 56,cliente56@correo.com,3476277976,6185294221,Carrera 56 # 30-19
Cliente 57,cliente57@correo.com,3093546223,5694951401,Carrera 57 # 31-35
Cliente 58,cliente58@correo.com,3094891028,8142260426,Carrera 58 # 21-32
Cliente 59,cliente59@correo.com,3506921389,0619639843,Carrera 59 # 22-42
Cliente 60,cliente60@correo.com,3334969598,3868979421,Carrera 60 # 34-2
Cliente 61,cliente61@correo.com,3585471541,0957476209,Carrera 61 # 19-30
Cliente 62,cliente62@correo.com,3192019027,5737384293,Carrera 62 # 31-2
Cliente 63,cliente63@correo.com,3328137347,9871478878,Carrera 63 # 46-29
Cliente 64,cliente64@correo.com,3835090513,9206295023,Carrera 64 # 3-8
Cliente 65,cliente65@correo.com,3409530324,9807905280,Carrera 65 # 40-49
Cliente 66,cliente66@correo.com,3693074381,6546000834,Carrera 66 # 45-31
Cliente 67,cliente67@correo.com,3306879411,3563134768,Carrera 67 # 45-3
Cliente 68,cliente68@correo.com,3839642832,9256522015,Carrera 68 # 13-20
Cliente 69,cliente69@correo.com,3090631673,7165597404,Carrera 69 # 21-33
Cliente 70,cliente70@correo.com,3131975684,4027684735,Carrera 70 # 36-13
Cliente 71,cliente71@correo.com,3288346821,2667079821,Carrera 71 # 40-40
Cliente 72,cliente72@correo.com,3476026175,4948421559,Carrera 72 # 46-31
Cliente 73,cliente73@correo.com,3501029972,4631712759,Carrera 73 # 17-21
Cliente 74,cliente74@correo.com,3325335307,6557706118,Carrera 74 # 44-21
Cliente 75,cliente75@correo.com,3213526483,7296796717,Carrera 75 # 47-37
Cliente 76,cliente76@correo.com,3441642765,8179923180,Carrera 76 # 33-8
Cliente 77,cliente77@correo.com,3400436664,8848944325,Carrera 77 # 1-25
Cliente 78,cliente78@correo.com,3337786880,7486357102,Carrera 78 # 42-27
Cliente 79,cliente79@correo.com,3489380885,2287987506,Carrera 79 # 40-41
Cliente 80,cliente80@correo.com,3124499344,7731114478,Carrera 80 # 38-33
Cliente 81,cliente81@correo.com,3825619109,2669522008,Carrera 81 # 5-30
Cliente 82,cliente82@correo.com,3152817153,9981323682,Carrera 82 # 38-7
Cliente 83,cliente83@correo.com,3372733749,5848953909,Carrera 83 # 15-13
Cliente 84,cliente84@correo.com,3657937454,1605956512,Carrera 84 # 33-12
Cliente 85,cliente85@correo.com,3272119104,3167177189,Carrera 85 # 15-25
Cliente 86,cliente86@correo.com,3831621554,7264611419,Carrera 86 # 46-24
Cliente 87,cliente87@correo.com,3196704031,2083384287,Carrera 87 # 49-31
Cliente 88,cliente88@correo.com,3180509058,7769120190,Carrera 88 # 2-47
Cliente 89,cliente89@correo.com,3710088874,7518909380,Carrera 89 # 39-31
Cliente 90,cliente90@correo.com,3621750113,2569125371,Carrera 90 # 4-15
Cliente 91,cliente91@correo.com,3480473278,4415359539,Carrera 91 # 12-6
Cliente 92,cliente92@correo.com,3909766516,4802713480,Carrera 92 # 42-8
Cliente 93,cliente93@correo.com,3757079951,3437537637,Carrera 93 # 44-32
